ocr_text,name,matched_name,transactions,pep_flag,sanctions_flag
"Name: Ananya Joshi
DOB: 11/12/1998
PAN: DKOYE5181I",Ananya Joshi,Ananya Joshi,"[{'amount': 21164, 'type': 'debit', 'mode': 'upi'}, {'amount': 69956, 'type': 'credit', 'mode': 'upi'}, {'amount': 99108, 'type': 'credit', 'mode': 'cash'}, {'amount': 21067, 'type': 'debit', 'mode': 'card'}]",0,0
"Name: Aryan Iyer
DOB: 04/01/1984
PAN: HDBZY3422K",Aryan Iyer,Aryan Iyer,"[{'amount': 94811, 'type': 'credit', 'mode': 'salary'}, {'amount': 79695, 'type': 'debit', 'mode': 'cash'}, {'amount': 73578, 'type': 'debit', 'mode': 'card'}, {'amount': 80492, 'type': 'debit', 'mode': 'cash'}, {'amount': 84215, 'type': 'credit', 'mode': 'cash'}]",0,0
"Name: Aditya Singh
DOB: 27/09/1990
PAN: RXKDV8652I",Aditya Singh,Aditya Singh,"[{'amount': 3229, 'type': 'debit', 'mode': 'cash'}, {'amount': 28624, 'type': 'debit', 'mode': 'salary'}, {'amount': 82813, 'type': 'credit', 'mode': 'cash'}]",1,0
"Name: Diya Gupta
DOB: 08/03/1998
PAN: XGPWY8163G",Diya Gupta,Diya Gupta,"[{'amount': 16394, 'type': 'credit', 'mode': 'cash'}, {'amount': 91464, 'type': 'debit', 'mode': 'upi'}, {'amount': 98340, 'type': 'credit', 'mode': 'salary'}]",0,1
"Name: Rohan Mehta
DOB: 22/05/1995
PAN: WQZLE9867K",Rohan Mehta,Rohan Mehta,"[{'amount': 56212, 'type': 'credit', 'mode': 'salary'}, {'amount': 8083, 'type': 'debit', 'mode': 'upi'}, {'amount': 15459, 'type': 'credit', 'mode': 'salary'}, {'amount': 69119, 'type': 'credit', 'mode': 'salary'}]",0,0
"Name: Diya Mehta
DOB: 19/06/1997
PAN: LYMEX2069O",Diya Mehta,Diya Mehta,"[{'amount': 16659, 'type': 'credit', 'mode': 'cash'}, {'amount': 20631, 'type': 'credit', 'mode': 'card'}, {'amount': 59787, 'type': 'debit', 'mode': 'cash'}, {'amount': 5577, 'type': 'debit', 'mode': 'cash'}, {'amount': 33146, 'type': 'credit', 'mode': 'card'}]",1,0
"Name: Diya Iyer
DOB: 11/04/1995
PAN: CMYQZ6594M",Diya Iyer,Diya Iyer,"[{'amount': 67327, 'type': 'credit', 'mode': 'salary'}, {'amount': 85194, 'type': 'credit', 'mode': 'card'}]",0,0
"Name: Ananya Singh
DOB: 20/10/1985
PAN: WHZIK4385R",Ananya Singh,Ananya Singh,"[{'amount': 2032, 'type': 'credit', 'mode': 'salary'}, {'amount': 54387, 'type': 'credit', 'mode': 'salary'}, {'amount': 3172, 'type': 'credit', 'mode': 'salary'}, {'amount': 15569, 'type': 'credit', 'mode': 'upi'}, {'amount': 43171, 'type': 'credit', 'mode': 'salary'}]",0,0
"Name: Ananya Mehta
DOB: 18/03/1981
PAN: SLVRQ6253G",Ananya Mehta,Ananya Mehta,"[{'amount': 6626, 'type': 'credit', 'mode': 'cash'}, {'amount': 69281, 'type': 'credit', 'mode': 'cash'}, {'amount': 2878, 'type': 'debit', 'mode': 'card'}, {'amount': 77124, 'type': 'credit', 'mode': 'salary'}]",0,1
"Name: Aryan Patel
DOB: 19/08/1991
PAN: GUDIA8750D",Aryan Patel,Aryan Patel,"[{'amount': 27424, 'type': 'credit', 'mode': 'salary'}, {'amount': 36597, 'type': 'credit', 'mode': 'card'}]",1,1
"Name: Kabir Nair
DOB: 15/09/1980
PAN: TYUAY8132Q",Kabir Nair,Kabir Nair,"[{'amount': 45732, 'type': 'debit', 'mode': 'salary'}, {'amount': 55940, 'type': 'credit', 'mode': 'card'}]",1,0
"Name: Vihaan Mehta
DOB: 18/02/2000
PAN: EXFFL4893T",Vihaan Mehta,Vihaan Mehta,"[{'amount': 96441, 'type': 'debit', 'mode': 'salary'}, {'amount': 12198, 'type': 'debit', 'mode': 'cash'}, {'amount': 5769, 'type': 'debit', 'mode': 'card'}, {'amount': 2652, 'type': 'credit', 'mode': 'upi'}]",0,0
"Name: Aditya Verma
DOB: 03/08/1981
PAN: MBJVP1558U",Aditya Verma,Aditya Verma,"[{'amount': 11018, 'type': 'debit', 'mode': 'upi'}, {'amount': 97635, 'type': 'debit', 'mode': 'card'}, {'amount': 91354, 'type': 'credit', 'mode': 'card'}, {'amount': 99670, 'type': 'debit', 'mode': 'upi'}, {'amount': 90884, 'type': 'debit', 'mode': 'card'}]",0,0
